81.7,63.034,5.2028
79.5,64.697,5.3336
85.4,66.92,4.6861
91.4,69.14,4.6085
42.6,24.398,4.5217
51.4,26.075,4.8624
53.6,27.852,5.3043
54.2,30.378,5.3422
64.2,33.356,5.732
64.7,35.361,5.6825
66.3,38.226,5.8247
67,40.324,5.836
65.5,43.091,6.034
67.8,45.942,6.4393
64.1,47.753,5.6961
68.4,50.395,5.7977
73.9,53.814,6.0176
68.1,56.499,6.0033
78.1,60.275,5.5079
80.9,62.023,5.7689
84.9,64.75,5.0348
87.2,66.728,5.111
92.3,68.518,4.5389
92.6,70.48,4.0681
48,24.481,4.7252
53.3,26.023,4.7593
55.2,27.851,5.2319
60.1,30.368,5.2857
60.9,33.764,5.522
60.8,35.915,5.3194
68.8,38.966,5.7742
65.5,41.394,5.4871
68.4,43.459,5.844
67.6,46.513,5.7059
65.4,48.828,5.989
73.5,52.341,6.1172
72.4,54.763,5.8121
74.8,57.905,6.0485
78.4,60.892,5.665
83.7,63.813,5.3829
85.9,65.942,4.7196
88.6,67.876,4.7194
90.1,70.167,3.8971
92.8,71.489,3.7162
44.9,24.257,4.5278
54.8,25.869,4.8253
60,28.274,5.5137
59.7,31.186,5.1903
61.7,34.067,4.9261
59.2,36.47,5.4948
67.9,39.787,5.6929
67.2,41.683,5.6482
66.5,44.141,5.6957
67.7,46.71,5.9088
68,49.633,5.8756
68.3,53.227,5.8574
72.9,55.683,5.9492
74.9,59.246,5.97
76.2,61.693,5.8481
84.4,64.256,5.155
84.2,66.975,4.9269
89,69.095,4.3086
90.2,71.242,3.9932
96.2,72.506,3.3272
51.4,24.667,4.0959
56.6,26.344,4.6912
55.3,28.973,5.2519
57.9,31.343,5.1772
59.6,34.142,4.925
61.3,37.168,5.6487
64.5,39.38,5.4598
64.4,41.951,5.7938
68.4,45.507,6.0043
67.6,47.3,5.9733
68.5,50.957,6.0207
71.2,53.408,6.039
74.6,57.129,5.9802
75.6,60.106,5.6811
79.8,62.44,5.6004
83,65.247,5.2767
83.1,68.04,4.4706
89.6,70.029,4.0895
94.4,72.081,3.5652
96.2,73.304,3.1061
74.3,40.739,5.8955
70.3,42.665,6.8364
72,44.107,6.2947
75.4,44.943,6.5224
73.3,47.449,6.3535
78.8,48.824,6.7072
78.8,49.953,6.1158
85.5,50.871,6.5578
84.1,51.725,5.9888
77.9,53.59,6.1827
83.3,54.206,6.3411
88.1,55.526,6.0244
85.3,57.122,5.8166
86.3,58.391,5.2942
89.3,58.411,5.4924
87.7,60.415,5.0017
88.5,61.131,4.7541
93.8,62.511,4.9323
90.4,62.967,4.6145
87.2,63.821,4.6929
70.2,41.933,6.5399
74.2,43.567,7.0802
77.9,45.595,7.0475
74.7,47.03,7.1157
74.5,49.827,7.7036
81.2,50.901,7.13
86.1,53.184,6.7194
84.4,54.857,6.9362
83.2,56.637,7.0553
84.2,58.189,7.4394
86,59.519,6.6258
86.9,61.11,6.4234
89.9,63.399,6.0679
90.4,63.993,5.6925
91.1,65.869,5.232
95,66.481,4.7478
96,68.456,4.2391
93.6,69.098,4.49
94.9,70.198,4.093
96.1,71.04,3.6909
74.4,42.119,7.5342
75,43.81,6.8494
74.3,45.935,7.034
77.7,47.884,6.9425
77.6,50.091,7.3319
81.5,52.541,7.3312
84.3,54.254,6.9831
83.3,55.92,6.556
86.1,58.436,6.4277
87.4,60.387,6.7214
87.5,62.193,6.0045
89.7,63.742,5.8881
91.2,65.77,5.1997
91,66.778,4.9766
91.7,68.547,4.458
93.8,69.719,4.0716
95.1,70.988,3.8644
96.5,72.218,3.3503
96.1,73.129,3.5359
99.2,74.074,2.7558
72.6,42.347,7.1391
74.7,44.117,7.2134
75.5,46.5,6.8744
75.7,48.78,6.8901
81.5,51.13,7.2099
82,53.103,7.0228
83.7,55.063,6.7893
84.7,57.457,6.6813
84.1,59.323,6.8607
86.4,61.642,6.2011
87.6,63.557,6.1137
90.3,65.461,5.5276
88.7,67.138,5.1762
92,69.215,4.4223
93.9,70.225,4.0704
93.3,71.792,3.8808
95.9,73.011,3.1942
97.9,74.033,3.075
97.1,74.673,2.7561
98.6,75.59,2.4008
77.7,42.291,7.1484
69.8,44.263,7.3186
76.2,47.318,7.1168
79.2,49.608,6.8336
78.9,51.675,6.684
83.2,54.184,7.076
80.4,56.132,6.9665
81.8,57.975,6.5379
85.2,60.519,6.1203
89.4,62.676,6.3167
83.1,64.591,5.6224
89.4,66.1,5.0988
91.7,68.036,5.2576
92.5,70.071,4.3391
94.3,71.563,3.6466
94.4,73.167,3.2914
97.1,74.376,3.052
